,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
43100,29008984,Upper West Side,Manhattan,40.79639210765212,-73.96889052681804,2,1.0,0.0,1.0,$150.00,0,8,89.0,9.0,10.0,9.0,10.0,9.0
44429,29702007,Carroll Gardens,Brooklyn,40.6741388920506,-73.99960635100676,2,1.0,2.0,1.0,$130.00,39,2,90.0,9.0,10.0,10.0,10.0,10.0
602,206071,Concourse Village,Bronx,40.82802280002809,-73.92038516986378,5,1.0,1.0,5.0,$50.00,288,232,85.0,9.0,10.0,10.0,9.0,9.0
38690,26249499,Hell's Kitchen,Manhattan,40.75417681784773,-73.99644137254515,2,1.0,1.0,0.0,$150.00,365,10,80.0,7.0,9.0,9.0,10.0,8.0
14553,9977283,Tribeca,Manhattan,40.71853806863107,-74.00439124116393,4,1.0,2.0,2.0,$164.00,0,3,100.0,10.0,10.0,10.0,10.0,10.0
17187,12482870,Washington Heights,Manhattan,40.84658686877243,-73.93252355742018,1,1.0,1.0,1.0,$38.00,0,11,98.0,9.0,10.0,10.0,9.0,10.0
1541,636579,Gramercy,Manhattan,40.732942734287626,-73.98318525904469,2,1.0,1.0,1.0,$209.00,364,76,95.0,10.0,10.0,10.0,10.0,10.0
43284,29117643,Fordham,Bronx,40.85765415905623,-73.90351185270428,2,1.0,1.0,2.0,$48.00,61,7,94.0,9.0,10.0,10.0,9.0,10.0
34420,23120678,East Harlem,Manhattan,40.790373370871855,-73.94579912361036,2,1.0,1.0,1.0,$115.00,0,3,93.0,6.0,10.0,10.0,8.0,9.0
10478,7341406,Bedford-Stuyvesant,Brooklyn,40.683984827873225,-73.94100961532861,5,1.0,1.0,3.0,$125.00,332,25,93.0,10.0,10.0,10.0,9.0,9.0
34781,23413299,Upper East Side,Manhattan,40.77682481443208,-73.95448527061751,2,1.0,1.0,2.0,$150.00,281,42,94.0,9.0,9.0,9.0,10.0,9.0
6543,4358291,Park Slope,Brooklyn,40.67761348924402,-73.97666503654914,9,2.0,4.0,7.0,$985.00,32,17,99.0,10.0,10.0,10.0,10.0,9.0
2366,987616,Cobble Hill,Brooklyn,40.685557697994994,-73.99778828704655,8,2.0,5.0,5.0,$350.00,0,12,92.0,9.0,10.0,10.0,10.0,9.0
34944,23529395,Crown Heights,Brooklyn,40.6770674894411,-73.94833548455865,4,1.0,0.0,1.0,$145.00,238,47,99.0,10.0,10.0,10.0,9.0,10.0
48350,31149465,Williamsburg,Brooklyn,40.71141556509543,-73.94818565031134,1,1.0,1.0,1.0,$125.00,0,1,100.0,10.0,10.0,10.0,10.0,10.0
10258,7174361,Hell's Kitchen,Manhattan,40.75788025031899,-73.99222684956104,6,1.0,2.0,5.0,$250.00,143,17,80.0,8.0,9.0,8.0,9.0,8.0
24820,17796480,Jackson Heights,Queens,40.75125433687625,-73.87643508787973,2,1.0,1.0,1.0,$43.00,356,98,99.0,10.0,10.0,10.0,10.0,10.0
28868,20420311,Bushwick,Brooklyn,40.68512643596348,-73.9098675470306,3,2.0,1.0,3.0,$50.00,57,38,98.0,10.0,10.0,10.0,9.0,10.0
41457,27988992,Upper West Side,Manhattan,40.768378706905246,-73.98362879633737,3,1.0,1.0,1.0,$209.00,47,8,98.0,9.0,10.0,10.0,10.0,9.0
39731,26927749,Murray Hill,Manhattan,40.74452388206582,-73.97228492561446,2,1.0,1.0,1.0,$200.00,89,9,89.0,9.0,8.0,8.0,10.0,9.0
12589,8921645,Kips Bay,Manhattan,40.74057908406792,-73.98206318482876,4,1.0,2.0,3.0,$150.00,226,10,98.0,9.0,10.0,10.0,10.0,9.0
37003,24943484,Canarsie,Brooklyn,40.64432296069705,-73.90556245663568,2,1.0,1.0,1.0,$125.00,90,6,97.0,9.0,10.0,10.0,9.0,10.0
7247,4774041,Bay Ridge,Brooklyn,40.634196843042886,-74.02337383940609,6,1.0,3.0,3.0,$129.00,117,41,92.0,9.0,10.0,10.0,10.0,9.0
15165,10369047,Flushing,Queens,40.74608674294791,-73.83174662898564,2,1.0,1.0,1.0,$50.00,90,92,91.0,9.0,10.0,9.0,9.0,9.0
19415,13770680,Flushing,Queens,40.74874816492808,-73.82774667780375,3,1.5,1.0,2.0,$50.00,32,54,88.0,9.0,10.0,9.0,9.0,9.0
12210,8616888,Crown Heights,Brooklyn,40.67016972757728,-73.94851996488097,9,2.0,5.0,5.0,$360.00,344,12,98.0,10.0,10.0,10.0,10.0,10.0
8868,6246010,Bedford-Stuyvesant,Brooklyn,40.68516678671438,-73.93690194566993,2,1.0,1.0,2.0,$30.00,131,162,89.0,9.0,10.0,9.0,9.0,9.0
20572,14588156,Crown Heights,Brooklyn,40.67275198706231,-73.94554691728901,4,1.0,1.0,1.0,$110.00,109,68,99.0,10.0,10.0,10.0,10.0,10.0
2040,821266,Midtown,Manhattan,40.75366866105167,-73.98635690239432,5,1.5,1.0,4.0,$390.00,344,54,100.0,10.0,10.0,10.0,10.0,10.0
33340,22396932,Sunnyside,Queens,40.73704227159436,-73.92760497351125,2,1.0,1.0,1.0,$70.00,180,7,100.0,10.0,10.0,10.0,9.0,10.0
34415,23116453,Longwood,Bronx,40.82730271044685,-73.88906027225644,3,1.0,1.0,1.0,$37.00,90,7,91.0,9.0,10.0,10.0,10.0,10.0
23791,16930274,Upper East Side,Manhattan,40.76868308544656,-73.95743913059952,3,1.0,1.0,1.0,$110.00,6,11,100.0,10.0,10.0,10.0,10.0,10.0
9396,6608666,Bedford-Stuyvesant,Brooklyn,40.68735600456935,-73.92827331612682,2,1.0,1.0,1.0,$70.00,305,107,86.0,9.0,10.0,10.0,9.0,9.0
4526,2659732,Greenpoint,Brooklyn,40.72561181829521,-73.94745293777265,1,1.0,1.0,1.0,$54.00,274,5,84.0,8.0,9.0,8.0,9.0,8.0
7995,5359410,Bushwick,Brooklyn,40.698304087108205,-73.92606855455197,2,1.0,1.0,1.0,$50.00,0,1,100.0,8.0,10.0,10.0,10.0,10.0
26231,18872091,Long Island City,Queens,40.76364715732694,-73.93191643587208,2,1.0,1.0,1.0,$60.00,0,4,95.0,10.0,10.0,10.0,10.0,10.0
10481,7342107,East Morrisania,Bronx,40.82873077837269,-73.89553116076739,6,2.0,2.0,4.0,$120.00,363,122,89.0,9.0,10.0,10.0,9.0,9.0
3875,2104910,Ridgewood,Queens,40.70988330463888,-73.90844826331839,2,1.0,1.0,2.0,$99.00,89,57,91.0,9.0,10.0,10.0,9.0,9.0
30719,21394213,Upper East Side,Manhattan,40.77105259509943,-73.95256529936105,3,1.0,1.0,1.0,$129.00,0,16,90.0,9.0,10.0,10.0,10.0,9.0
6120,4068216,Upper East Side,Manhattan,40.77462442136826,-73.95460852407062,2,1.0,1.0,1.0,$105.00,290,202,88.0,8.0,9.0,10.0,10.0,9.0
13077,9270122,Greenpoint,Brooklyn,40.734689195960016,-73.95778084824609,1,1.0,1.0,1.0,$60.00,0,1,100.0,10.0,10.0,10.0,8.0,10.0
24109,17256012,Bushwick,Brooklyn,40.69396523700576,-73.92649222917218,6,1.0,2.0,3.0,$150.00,258,53,94.0,9.0,10.0,10.0,9.0,9.0
14710,10038693,Greenpoint,Brooklyn,40.72733670421802,-73.94450562527632,2,1.0,0.0,1.0,$189.00,299,6,93.0,10.0,10.0,9.0,9.0,9.0
2170,860827,Clinton Hill,Brooklyn,40.68706905076593,-73.9657083403824,4,1.0,1.0,2.0,$170.00,265,289,95.0,10.0,10.0,10.0,10.0,10.0
22773,16271447,Boerum Hill,Brooklyn,40.6877776425259,-73.98533610988743,2,1.0,0.0,1.0,$125.00,190,4,100.0,10.0,10.0,10.0,10.0,10.0
31815,21838658,Chelsea,Manhattan,40.74660701732817,-73.99244912181649,2,2.0,1.0,1.0,$99.00,12,6,97.0,9.0,10.0,10.0,10.0,10.0
